commit_hash,date,subject,files_changed,insertions,deletions
910395c5cb4fbb229eac750cc4c0953d71e5db11,2026-03-08 06:12:29 +0000,Bump C2 and C6 corpus sizes: 30k→50k and 20k→50k respectively,lip/dgen/generate_all.py|lip/train_all.py,6,6
a582a0aac9be33f08477d2bff6453dff6b79bd51,2026-03-08 05:53:30 +0000,Fix generate_all.py: add c3 to --components choices and default list,lip/dgen/generate_all.py,2,2
c906ae242ce9165c09a1e604cd9cfd6a75529e3e,2026-03-08 05:50:13 +0000,"Fill model layer gaps: constants, C3 DGEN corpus, CI smoke-test gate",.github/workflows/ci.yml|lip/common/constants.py|lip/dgen/c3_generator.py|lip/dgen/generate_all.py|lip/dgen/validator.py,411,1
8e38907e7428909ed1e858d353c072c4bcc2f194,2026-03-08 03:18:27 +0000,"Add C1 monitor dashboard, --log-level flag, and refresh corpus SHA256",lip/train_all.py|scripts/monitor_c1.py,414,0
73538c669f0084aca1b50abd16dd657e0807a6d2,2026-03-08 00:47:44 +0000,Fix stage3 O(n*m) feature extraction — 417x speedup for 100k corpus,lip/c1_failure_classifier/training.py,8,3
a2270e6fa6837c3dc234368e62091e1a901e8997,2026-03-08 00:04:39 +0000,"Add C5 streaming tests, C1 DGEN validator, and complete EU AI Act data card",lip/dgen/generate_all.py|lip/dgen/validator.py|lip/tests/test_c5_streaming.py,478,3
b7fa2bb5fa2d022b8235e73bdaa9a50da656adc0,2026-03-07 23:21:17 +0000,"Add lip/train_all.py — master model training script for C1, C2, C6",lip/train_all.py,538,0
7f5e162d2f0574fc5094072e77a583c70fa2b44a,2026-03-07 22:29:24 +0000,Fix CI: BackendUnavailable error on pip install -e .,.github/workflows/ci.yml|lip/pyproject.toml,5,1
d91eb039d8b5fded4e184adac77b552a6cbdd017,2026-03-07 22:24:00 +0000,Add CLAUDE.md — project configuration for Claude Code sessions,CLAUDE.md,49,0
a7540c3548754210e1675c65d58124d0a7aeb29d,2026-03-07 22:18:58 +0000,Fix all 183 ruff lint errors — CI now passes clean,lip/c1_failure_classifier/__init__.py|lip/c1_failure_classifier/calibration.py|lip/c1_failure_classifier/embeddings.py|lip/c1_failure_classifier/features.py|lip/c1_failure_classifier/graph_builder.py|lip/c1_failure_classifier/graphsage.py|lip/c1_failure_classifier/inference.py|lip/c1_failure_classifier/model.py|lip/c1_failure_classifier/synthetic_data.py|lip/c1_failure_classifier/tabtransformer.py|lip/c1_failure_classifier/training.py|lip/c2_pd_model/__init__.py|lip/c2_pd_model/baseline.py|lip/c2_pd_model/features.py|lip/c2_pd_model/fee.py|lip/c2_pd_model/inference.py|lip/c2_pd_model/lgd.py|lip/c2_pd_model/synthetic_data.py|lip/c2_pd_model/tier_assignment.py|lip/c2_pd_model/training.py|lip/c3_repayment_engine/__init__.py|lip/c3_repayment_engine/corridor_buffer.py|lip/c3_repayment_engine/rejection_taxonomy.py|lip/c3_repayment_engine/repayment_loop.py|lip/c3_repayment_engine/settlement_handlers.py|lip/c3_repayment_engine/uetr_mapping.py|lip/c4_dispute_classifier/__init__.py|lip/c4_dispute_classifier/model.py|lip/c4_dispute_classifier/multilingual.py|lip/c4_dispute_classifier/negation.py|lip/c4_dispute_classifier/prefilter.py|lip/c4_dispute_classifier/prompt.py|lip/c4_dispute_classifier/taxonomy.py|lip/c4_dispute_classifier/training.py|lip/c5_streaming/__init__.py|lip/c5_streaming/flink_jobs.py|lip/c5_streaming/redis_config.py|lip/c6_aml_velocity/__init__.py|lip/c6_aml_velocity/sanctions.py|lip/c6_aml_velocity/velocity.py|lip/c7_execution_agent/__init__.py|lip/c7_execution_agent/agent.py|lip/c7_execution_agent/decision_log.py|lip/c7_execution_agent/kill_switch.py|lip/common/__init__.py|lip/common/encryption.py|lip/common/schemas.py|lip/common/state_machines.py|lip/dgen/__init__.py|lip/dgen/c2_generator.py|lip/dgen/c4_generator.py|lip/dgen/c6_generator.py|lip/dgen/generate_all.py|lip/dgen/validator.py|lip/infrastructure/monitoring/alerts.py|lip/infrastructure/monitoring/metrics.py|lip/pipeline.py|lip/pipeline_result.py|lip/tests/conftest.py|lip/tests/test_c1_classifier.py|lip/tests/test_c1_training.py|lip/tests/test_c2_pd_model.py|lip/tests/test_c3_repayment.py|lip/tests/test_c4_dispute.py|lip/tests/test_c6_aml.py|lip/tests/test_c7_execution.py|lip/tests/test_e2e_config.py|lip/tests/test_e2e_corridor.py|lip/tests/test_e2e_decision_log.py|lip/tests/test_e2e_latency.py|lip/tests/test_e2e_pipeline.py|lip/tests/test_e2e_settlement.py|lip/tests/test_e2e_state_machines.py|lip/tests/test_fee_arithmetic.py|lip/tests/test_integration_flows.py|lip/tests/test_negation_suite.py|lip/tests/test_state_machines.py|lip/tests/test_synthetic_data.py,213,261
148751a8943543577ef2f46fe3f215a3efaf368f,2026-03-07 22:10:33 +0000,Fix C2 validator target default rate (5.5% → 6.3%),lip/dgen/validator.py,3,1
dfef1b0d20354424a980395023e1476789871ad2,2026-03-07 22:06:54 +0000,Fix numerical overflow in C1 GraphSAGE + TabTransformer training,lip/c1_failure_classifier/graphsage.py|lip/c1_failure_classifier/tabtransformer.py,23,18
f7496e83350e9971fb6c4c287e1286e9902e7fee,2026-03-07 17:13:12 +0000,[DGEN] Create Data Generation & Quality Engineer — all LIP training corpora,.gitignore|lip/dgen/__init__.py|lip/dgen/c2_generator.py|lip/dgen/c4_generator.py|lip/dgen/c6_generator.py|lip/dgen/generate_all.py|lip/dgen/validator.py,1764,0
94b5c49a71ae223fcf4046e668c30661dff2146c,2026-03-07 16:30:50 +0000,[FORGE] Add GitHub Actions CI and complete Docker coverage for all 7 components,.github/workflows/ci.yml|lip/infrastructure/docker/Dockerfile.c2|lip/infrastructure/docker/Dockerfile.c3|lip/infrastructure/docker/Dockerfile.c5|lip/infrastructure/docker/Dockerfile.c6,243,0
ad95e80c3cf3b1192966f253883840753739db74,2026-03-07 16:28:53 +0000,[TEAM] Systematic multi-domain hardening: QUANT + REX + CIPHER + FORGE,lip/c6_aml_velocity/anomaly.py|lip/c7_execution_agent/decision_log.py|lip/c7_execution_agent/kill_switch.py|lip/tests/test_c2_pd_model.py|requirements-ml.txt|requirements.txt,151,0
9c6d6b2dc4f21bb8213e6973f904aae4cec04b44,2026-03-07 16:20:06 +0000,"[C1/C2] Add synthetic data generators, training fixes, and train_all orchestration",lip/c1_failure_classifier/synthetic_data.py|lip/c1_failure_classifier/training.py|lip/c2_pd_model/synthetic_data.py|scripts/train_all.py,565,3
90b8cb72979e85504ca261495c57715e137a0467,2026-03-07 16:04:19 +0000,Add elite agent team as Claude Code slash commands,.claude/commands/aria.md|.claude/commands/cipher.md|.claude/commands/forge.md|.claude/commands/nova.md|.claude/commands/quant.md|.claude/commands/rex.md|.claude/commands/team.md,749,0
58e3201f0df79e2f3466001916b121653ae94e60,2026-03-06 23:59:12 +0000,Resolve 7 engineering gaps against Architecture Spec v1.2,lip/c1_failure_classifier/graphsage.py|lip/c1_failure_classifier/model.py|lip/c1_failure_classifier/tabtransformer.py|lip/c1_failure_classifier/training.py|lip/c3_repayment_engine/corridor_buffer.py|lip/c3_repayment_engine/repayment_loop.py|lip/c6_aml_velocity/__init__.py|lip/c6_aml_velocity/aml_checker.py|lip/c6_aml_velocity/cross_licensee.py|lip/common/schemas.py|lip/pipeline.py|lip/tests/test_c1_training.py|lip/tests/test_c3_repayment.py|lip/tests/test_c6_aml.py|lip/tests/test_integration_flows.py,1782,77
810a28d954642cfae34dd825ca9493cc826a3e89,2026-03-06 23:16:00 +0000,Merge pull request #13 from ryanktomegah/ryanktomegah-patch-1,,0,0
